file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\trading\rules\StopGainRuleTest.java,org.ta4j.core.trading.rules.StopGainRuleTest,isSatisfied/0,false,50,4,5,0,5,1,6,15,0,2,0,6,0,0,0,0,0,0,3,11,2,0,0,0,0,0,12,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\trading\rules\StopGainRuleTest.java,org.ta4j.core.trading.rules.StopGainRuleTest,setUp/0,false,42,4,3,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,13,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\indicators\helpers\MedianPriceIndicatorTest.java,org.ta4j.core.indicators.helpers.MedianPriceIndicatorTest,indicatorShouldRetrieveBarClosePrice/0,false,64,5,6,0,6,2,7,7,0,2,0,7,0,0,1,0,0,0,0,2,2,0,1,0,0,0,11,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\indicators\helpers\MedianPriceIndicatorTest.java,org.ta4j.core.indicators.helpers.MedianPriceIndicatorTest,setUp/0,false,44,5,3,0,3,1,1,15,0,1,0,1,0,0,0,0,0,0,0,40,3,0,0,0,0,0,12,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\RandomWalkIndexHighIndicator.java,org.ta4j.core.indicators.RandomWalkIndexHighIndicator,toString/0,false,67,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\RandomWalkIndexHighIndicator.java,org.ta4j.core.indicators.RandomWalkIndexHighIndicator,calculate/1[int],false,61,2,4,0,4,1,5,3,1,0,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,4,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\RandomWalkIndexHighIndicator.java,org.ta4j.core.indicators.RandomWalkIndexHighIndicator,"RandomWalkIndexHighIndicator/2[org.ta4j.core.TimeSeries,int]",true,51,5,5,1,4,1,2,8,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,24,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\indicators\MMAIndicatorTest.java,org.ta4j.core.indicators.MMAIndicatorTest,mmaXls1/0,false,88,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\indicators\MMAIndicatorTest.java,org.ta4j.core.indicators.MMAIndicatorTest,mmaXls13/0,false,98,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\indicators\MMAIndicatorTest.java,org.ta4j.core.indicators.MMAIndicatorTest,stackOverflowError/0,false,67,8,6,0,6,2,3,10,0,5,0,3,0,0,1,0,0,0,0,5,5,0,1,0,0,0,22,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\indicators\MMAIndicatorTest.java,org.ta4j.core.indicators.MMAIndicatorTest,mmaUsingTimeFrame10UsingClosePrice/0,false,59,5,4,0,4,1,2,6,0,1,0,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,13,1,0,false
